date,Most likely Rt,Possible low Rt,Possible High Rt
2020-03-07,2,0.34,6.43
2020-03-08,1.8800000000000001,0.38,5.01
2020-03-09,2.17,0.51,4.99
2020-03-10,2.2800000000000002,0.61,4.59
2020-03-11,2.5,0.8300000000000001,4.43
2020-03-12,2.45,0.96,4.04
2020-03-13,2.2,0.9400000000000001,3.56
2020-03-14,2.04,0.6900000000000001,3.33
2020-03-15,2.18,1.01,3.31
2020-03-16,2.11,1.09,3.09
2020-03-17,2.12,1.24,2.98
2020-03-18,2.06,1.29,2.81
2020-03-19,1.96,1.28,2.63
2020-03-20,1.96,1.37,2.57
2020-03-21,2.0300000000000002,1.5,2.5500000000000003
2020-03-22,2.0300000000000002,1.58,2.5100000000000002
2020-03-23,2.08,1.68,2.49
2020-03-24,2.07,1.73,2.44
2020-03-25,1.9000000000000001,1.59,2.22
2020-03-26,1.73,1.45,2.0300000000000002
2020-03-27,1.5,1.22,1.76
2020-03-28,1.25,1,1.53
2020-03-29,1.03,0.77,1.3
2020-03-30,0.79,0.53,1.07
2020-03-31,0.54,0.26,0.8300000000000001
2020-04-01,0.41000000000000003,0.11,0.71
2020-04-02,0.29,0.02,0.6
2020-04-03,0.32,0.01,0.64
2020-04-04,0.5,0.13,0.89
2020-04-05,0.78,0.39,1.19
2020-04-06,1.03,0.65,1.45
2020-04-07,1.22,0.8300000000000001,1.6
2020-04-08,1.19,0.8200000000000001,1.58
2020-04-09,1.2,0.84,1.58
2020-04-10,1.2,0.84,1.56
2020-04-11,1.23,0.88,1.58
2020-04-12,1.24,0.91,1.59
2020-04-13,1.28,0.96,1.62
2020-04-14,1.29,0.98,1.61
2020-04-15,1.37,1.06,1.6600000000000001
2020-04-16,1.36,1.08,1.6600000000000001
2020-04-17,1.3800000000000001,1.1,1.6500000000000001
2020-04-18,1.35,1.1,1.6300000000000001
2020-04-19,1.33,1.09,1.6
2020-04-20,1.25,0.99,1.48